hdi,life,education_e,education_m,gnhd,gni,country_id
0.944,81.6,17.5,12.6,"64,992",5.0,1
0.935,82.4,20.2,13.0,"42,261",17.0,2
0.93,83.0,15.8,12.8,"56,431",6.0,3
0.923,80.2,18.7,12.7,"44,025",11.0,4
0.922,81.6,17.9,11.9,"45,435",9.0,5
0.916,80.9,16.5,13.1,"43,919",11.0,6
0.916,80.9,18.6,12.2,"39,568",16.0,7
0.915,79.1,16.5,12.9,"52,947",3.0,8
0.913,82.0,15.9,13.0,"42,155",11.0,9
0.913,81.8,19.2,12.5,"32,689",23.0,10
0.912,83.0,15.4,10.6,"76,628",-7.0,11
0.91,84.0,15.6,11.2,"53,959",-2.0,12
0.908,80.0,15.0,11.8,"79,851",-10.0,13
0.907,82.2,15.8,12.1,"45,636",-1.0,14
0.907,80.7,16.2,13.1,"39,267",9.0,15
0.899,82.6,19.0,10.6,"35,182",12.0,16
0.898,81.9,16.9,11.9,"33,890",13.0,17
0.894,82.4,16.0,12.5,"30,676",16.0,18
0.892,81.7,13.9,11.7,"58,711",-11.0,19
0.891,83.5,15.3,11.5,"36,927",7.0,20
0.89,80.8,16.3,11.3,"41,187",0.0,21
0.888,82.2,16.0,11.1,"38,056",4.0,22
0.885,81.4,15.7,10.8,"43,869",-5.0,23
0.883,80.8,17.1,10.3,"38,695",0.0,24
0.88,80.4,16.8,11.9,"27,852",12.0,25
0.876,82.6,17.3,9.6,"32,045",7.0,26
0.873,83.1,16.0,10.1,"33,030",4.0,27
0.87,78.6,16.4,12.3,"26,660",10.0,28
0.865,80.9,17.6,10.3,"24,524",14.0,29
0.861,76.8,16.5,12.5,"25,214",12.0,30
0.856,78.8,14.5,8.8,"72,570",-26.0,31
0.85,80.2,14.0,11.6,"28,633",3.0,32
0.85,78.2,13.8,9.1,"123,124",-31.0,33
0.845,81.3,13.5,9.6,"43,978",-18.0,34
0.844,76.3,15.1,12.2,"25,845",5.0,35
0.843,77.4,15.5,11.8,"23,177",10.0,36
0.839,73.3,16.4,12.4,"24,500",7.0,37
0.839,80.6,14.4,10.3,"27,930",-1.0,38
0.837,74.3,16.3,8.7,"52,821",-27.0,39
0.836,76.3,17.9,9.8,"22,050",11.0,40
0.835,77.0,13.3,9.5,"60,868",-34.0,41
0.832,81.7,15.2,9.8,"21,290",11.0,42
0.83,80.9,16.3,8.2,"25,757",-2.0,43
0.828,75.2,15.4,11.6,"22,916",3.0,44
0.824,76.6,14.4,9.4,"38,599",-20.0,45
0.819,74.2,15.2,11.5,"22,281",4.0,46
0.818,77.3,14.8,11.0,"19,409",11.0,47
0.816,74.4,14.7,7.2,"83,961",-46.0,48
0.802,76.2,15.2,11.2,"14,558",27.0,49
0.798,71.3,15.7,12.0,"16,676",14.0,50
0.798,70.1,14.7,12.0,"22,352",-1.0,51
0.793,76.8,13.6,8.0,"34,858",-23.0,52
0.793,74.7,14.2,10.8,"18,108",10.0,53
0.793,77.2,15.5,8.5,"19,283",7.0,54
0.79,75.4,12.6,10.9,"21,336",-3.0,55
0.788,69.4,15.0,11.4,"20,867",-1.0,56
0.785,75.6,15.4,10.5,"12,488",27.0,57
0.783,76.1,14.0,9.2,"20,070",-1.0,58
0.782,74.2,14.4,10.6,"15,596",13.0,59
0.78,72.7,13.7,12.3,"13,496",18.0,60
0.78,77.6,13.3,9.3,"18,192",1.0,61
0.779,74.7,12.7,10.0,"22,762",-14.0,62
0.777,74.4,15.6,8.5,"17,470",0.0,63
0.772,73.1,13.4,9.4,"23,300",-19.0,64
0.772,70.4,12.3,10.9,"26,090",-25.0,65
0.771,74.9,14.4,10.5,"12,190",20.0,66
0.769,79.4,13.8,11.5,"7,301",47.0,67
0.769,79.3,13.8,7.9,"16,509",-1.0,68
0.766,79.4,13.9,8.4,"13,413",10.0,69
0.766,75.4,15.1,8.2,"15,440",4.0,70
0.762,74.2,14.2,8.9,"16,159",-2.0,71
0.761,75.3,14.5,7.6,"18,677",-12.0,72
0.757,74.9,13.7,10.8,"9,779",29.0,73
0.756,76.8,13.1,8.5,"16,056",-4.0,74
0.755,74.5,15.2,7.7,"15,175",-1.0,75
0.754,74.9,13.8,12.1,"7,164",40.0,76
0.752,73.8,12.9,8.4,"20,805",-21.0,77
0.751,70.8,11.9,11.2,"16,428",-11.0,78
0.75,73.4,15.8,8.6,"10,939",14.0,79
0.748,74.0,13.5,9.9,"11,365",11.0,80
0.747,75.4,13.4,9.3,"11,780",9.0,81
0.747,71.0,15.1,11.3,"8,178",25.0,82
0.736,74.8,14.0,7.6,"13,054",-1.0,83
0.734,74.6,13.1,9.0,"11,015",8.0,84
0.733,77.8,11.8,9.3,"9,943",14.0,85
0.733,74.7,12.3,10.9,"8,124",22.0,86
0.733,76.5,13.6,8.3,"9,638",19.0,87
0.732,75.9,14.2,7.6,"10,605",7.0,88
0.729,75.1,12.6,9.3,"9,765",14.0,89
0.727,75.8,13.1,7.5,"12,547",-7.0,90
0.727,70.0,15.7,9.9,"7,493",21.0,91
0.727,69.4,14.6,9.3,"10,729",4.0,92
0.726,74.4,13.5,7.3,"13,323",-13.0,93
0.724,77.8,12.7,7.9,"9,994",4.0,94
0.724,71.6,14.0,7.3,"14,911",-19.0,95
0.721,74.8,14.6,6.8,"10,404",1.0,96
0.72,74.0,13.5,7.3,"12,040",-9.0,97
0.72,72.9,13.4,8.6,"9,937",3.0,98
0.719,75.7,12.4,9.7,"7,415",13.0,99
0.717,72.8,14.7,10.7,"5,069",32.0,100
0.715,70.0,13.6,10.5,"7,614",9.0,101
0.715,73.5,13.1,7.6,"11,883",-12.0,102
0.714,71.1,12.7,7.7,"15,617",-32.0,103
0.706,76.8,13.0,5.8,"12,328",-19.0,104
0.702,73.4,12.9,10.3,"5,327",24.0,105
0.698,64.5,12.5,8.9,"16,646",-41.0,106
0.693,71.6,11.9,11.2,"5,223",23.0,107
0.69,71.1,13.5,6.6,"10,512",-12.0,108
0.688,65.6,10.8,9.9,"13,066",-28.0,109
0.684,64.4,12.5,7.8,"16,367",-42.0,110
0.684,68.9,13.0,7.6,"9,788",-9.0,111
0.679,72.9,11.9,7.7,"7,643",-3.0,112
0.677,72.9,13.0,8.9,"4,699",21.0,113
0.675,68.4,11.5,10.9,"5,567",10.0,114
0.668,68.2,11.3,8.9,"7,915",-7.0,115
0.666,73.0,12.3,6.5,"7,349",-3.0,116
0.666,57.4,13.6,9.9,"12,122",-29.0,117
0.666,75.8,11.9,7.5,"5,092",15.0,118
0.662,68.3,13.2,8.2,"5,760",4.0,119
0.655,70.6,12.5,10.6,"3,044",29.0,120
0.654,69.4,10.1,6.4,"14,003",-44.0,121
0.646,73.3,13.5,4.7,"6,094",-1.0,122
0.64,69.1,11.7,9.7,"3,432",21.0,123
0.636,66.4,10.3,8.5,"6,522",-4.0,124
0.631,74.9,11.5,6.0,"4,457",12.0,125
0.628,74.0,11.6,4.4,"6,850",-8.0,126
0.628,64.8,11.3,6.2,"9,418",-21.0,127
0.627,71.8,10.7,5.6,"6,929",-11.0,128
0.624,69.4,11.2,10.4,"2,517",27.0,129
0.609,68.0,11.7,5.4,"5,497",-4.0,130
0.606,73.1,11.1,5.5,"3,938",7.0,131
0.605,69.5,12.6,3.0,"7,176",-17.0,132
0.595,68.2,11.7,4.4,"5,363",-6.0,133
0.594,69.6,12.3,6.3,"2,728",21.0,134
0.594,71.9,10.6,6.8,"2,803",19.0,135
0.591,62.3,11.1,6.1,"6,012",-14.0,136
0.59,66.0,12.3,7.8,"2,434",21.0,137
0.587,57.6,9.0,5.5,"21,056",-84.0,138
0.586,60.1,13.5,6.6,"3,734",2.0,139
0.579,61.4,11.5,7.0,"3,852",-1.0,140
0.575,66.2,10.6,5.0,"4,680",-6.0,141
0.57,71.6,10.0,5.1,"3,191",5.0,142
0.555,68.4,10.9,4.4,"2,949",7.0,143
0.555,66.5,11.3,4.7,"2,918",8.0,144
0.548,61.6,11.0,6.3,"2,762",9.0,145
0.548,69.6,12.4,3.3,"2,311",16.0,146
0.538,66.2,7.8,4.7,"4,866",-14.0,147
0.536,65.9,8.6,4.1,"4,608",-12.0,148
0.532,52.3,11.4,4.7,"6,822",-30.0,149
0.531,49.0,11.3,7.1,"5,542",-25.0,150
0.521,65.0,9.2,5.1,"2,411",8.0,151
0.514,52.8,9.0,5.9,"5,341",-24.0,152
0.512,55.5,10.4,6.0,"2,803",-1.0,153
0.51,65.1,10.3,6.0,"1,328",24.0,154
0.509,57.5,10.9,7.3,"1,615",13.0,155
0.506,63.1,8.5,3.8,"3,560",-14.0,156
0.506,67.9,9.2,5.0,"1,540",16.0,157
0.505,62.6,9.9,4.0,"2,463",-1.0,158
0.503,63.3,11.5,4.6,"1,456",16.0,159
0.498,63.8,9.2,2.6,"3,519",-17.0,160
0.497,49.8,11.1,5.9,"3,306",-16.0,161
0.484,59.7,12.2,4.5,"1,228",17.0,162
0.483,62.8,8.7,4.9,"1,669",4.0,163
0.483,64.2,10.3,3.7,"1,458",11.0,164
0.483,58.5,9.8,5.4,"1,613",6.0,165
0.48,59.6,11.1,3.3,"1,767",0.0,166
0.479,63.5,7.0,3.1,"3,809",-27.0,167
0.47,62.0,6.4,3.8,"3,276",-22.0,168
0.467,55.7,7.6,5.4,"2,332",-9.0,169
0.466,66.5,7.9,2.5,"2,188",-8.0,170
0.465,60.4,9.3,3.2,"1,885",-7.0,171
0.462,51.5,8.9,4.3,"3,171",-24.0,172
0.445,62.8,10.8,4.3,747,13.0,173
0.442,64.1,8.5,2.4,"1,428",2.0,174
0.441,60.2,8.8,2.8,"1,507",-2.0,175
0.433,58.7,9.8,6.0,680,11.0,176
0.43,60.9,9.5,4.1,805,7.0,177
0.42,55.2,9.0,2.8,"1,362",-1.0,178
0.419,58.0,8.4,2.0,"1,583",-8.0,179
0.416,55.1,9.3,3.2,"1,123",1.0,180
0.413,50.9,8.6,3.1,"1,780",-16.0,181
0.411,58.8,8.7,2.4,"1,096",0.0,182
0.402,58.7,7.8,1.4,"1,591",-13.0,183
0.4,56.7,10.1,2.7,758,1.0,184
0.392,51.6,7.4,1.9,"2,085",-22.0,185
0.391,63.7,4.1,3.9,"1,130",-6.0,186
0.35,50.7,7.2,4.2,581,1.0,187
0.348,61.4,5.4,1.5,908,-5.0,188
0.686,70.6,12.0,6.4,"15,722",-1.0,189
0.71,74.0,12.7,7.5,"11,449",-1.0,190
0.748,72.3,13.6,10.0,"12,791",-1.0,191
0.748,75.0,14.0,8.2,"14,242",-1.0,192
0.607,68.4,11.2,5.5,"5,605",-1.0,193
0.518,58.5,9.6,5.2,"3,363",-1.0,194
0.711,71.5,12.2,7.9,"14,301",-1.0,195
